Date,Meal,Entry,Food,Food Score,calories (kcal),carbs (g),fat (g),protein (g),sodium (mg),sugar (g)
2/9/2018,Breakfast,"Trader Joe's - Organic Oats & Flax Instant Oatmeal, 1 packet",Oatmeal,Healthy,150,29,2,4,130,11
2/9/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/9/2018,Lunch,"Primefoods - Steamed Pork Buns, 3 piece",Pork Buns,Unhealthy,390,69,8,15,330,21
2/9/2018,Lunch,"Chinese - Lo Mein, 1 cup",Lo Mein,Unhealthy,310,35,12,15,492,3
2/9/2018,Dinner,"Boar's Head - Gruyere Cheese, 1 oz",Gruyere Cheese,Unhealthy,110,0,9,7,150,0
2/9/2018,Dinner,"Liscio's - Italian Sub Roll , 1 roll",Bread,Unhealthy,310,65,3,7,940,1
2/9/2018,Dinner,"Trader Joe's - Meatless Meatballs, 12 pieces (85g)",Meatballs,Unhealthy,280,16,10,28,940,2
2/9/2018,Dinner,"Homemade - Quick Tomato Sauce, 0.5 cup",Tomato Sauce,Neutral,60,6,2,2,44,4
2/9/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/9/2018,Snacks,"Milk - Whole, 3.25% milkfat, 0.5 cup",Whole Milk,Neutral,73,6,4,4,49,6
2/9/2018,Snacks,"Wonderful - Pastachios, 0.63 cup",Nuts,Healthy,188,10,16,8,169,3
2/9/2018,Drinks,"Bacardi Breezer - Pina Colada, 4 oz",Pina Colada,Unhealthy,105,12,1,0,0,0
2/9/2018,Snacks,"Utz - Pub Mix, 1 oz",Snack Mix,Unhealthy,130,19,5,3,330,2
2/9/2018,Dessert,"Strawberries, raw, 1 cup, halves",Strawberries,Healthy,49,12,0,1,2,7
2/10/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/10/2018,Breakfast,"Black Beans, 0.5 cup",Black Beans,Healthy,110,19,1,7,10,1
2/10/2018,Breakfast,"Guac - Guac, 1 pack",Guacamole,Healthy,100,5,9,1,0,0
2/10/2018,Breakfast,"Tomato - Tomato Slices, 2 slice",Tomatoes,Healthy,5,1,0,0,1,0
2/10/2018,Breakfast,"Boar's Head - Gruyere Cheese, 1 oz",Gruyere Cheese,Unhealthy,110,0,9,7,150,0
2/10/2018,Lunch,"Nasogastric - Veggie dumping s, 5.25 dumplings",Dumplings,Unhealthy,195,30,5,8,0,0
2/10/2018,Lunch,"Chinese - Lo Mein, 1.5 cup",Lo Mein,Unhealthy,465,53,18,22,738,4
2/10/2018,Dinner,"Chunk Light - Tuna Pack, 1 pouch (2.6oz/74g)",Fish,Healthy,70,0,1,17,300,0
2/10/2018,Dinner,"Primal Kitchen - Avocado Oil Mayo, 0.9 tablespoon",Mayo,Unhealthy,90,0,11,0,113,0
2/10/2018,Drinks,"Wine - Table, red, 1.5 glass (3.5 fl oz)",Red Wine,Unhealthy,111,3,0,0,8,0
2/10/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/10/2018,Snacks,"Kirlands - unsalted mixed nuts, 0.25 cup",Nuts,Healthy,190,7,16,5,0,2
2/10/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/10/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/10/2018,Snacks,"Simply Nature - Kale Chips, lemon and olive oil, 1.5 oz",Kale Chips,Healthy,195,27,9,2,585,2
2/10/2018,Dessert,"Pas - Black and White Cookie, 1.5 oz",Cookies,Unhealthy,170,30,5,2,120,20
2/10/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/11/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/11/2018,Breakfast,"Boar's Head - Gruyere Cheese, 1 oz",Gruyere Cheese,Unhealthy,110,0,9,7,150,0
2/11/2018,Breakfast,"Shredded hash browns - Shredded Hash Browns, 1 cup",Hash Browns,Unhealthy,70,16,0,1,0,0
2/11/2018,Lunch,"Chunk Light - Tuna Pack, 1 pouch (2.6oz/74g)",Fish,Healthy,70,0,1,17,300,0
2/11/2018,Lunch,"Primal Kitchen - Avocado Oil Mayo, 0.9 tablespoon",Mayo,Unhealthy,90,0,11,0,113,0
2/11/2018,Dinner,"Oliviera - Tortillini, 1.73 cup",Tortillini,Unhealthy,621,115,8,23,"1,242",9
2/11/2018,Dinner,"Homemade - Quick Tomato Sauce, 1 cup",Tomato Sauce,Neutral,120,12,5,4,88,8
2/11/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/11/2018,Snacks,"Kirlands - unsalted mixed nuts, 0.5 cup",Nuts,Healthy,380,14,32,10,0,4
2/11/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 1 can",Potato Chips,Unhealthy,210,23,12,2,230,1
2/11/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/11/2018,Snacks,"Milk - Whole, 3.25% milkfat, 0.75 cup",Whole Milk,Neutral,110,8,6,6,73,10
2/11/2018,Dessert,"Pas - Black and White Cookie, 1.5 oz",Cookies,Unhealthy,170,30,5,2,120,20
2/12/2018,Breakfast,"Stonyfield Organic - Smoothie, Strawberry Banana, 1 Bottle",Smoothie,Healthy,110,18,2,6,85,15
2/12/2018,Lunch,"Trader Joe's - Paneer Tikki Masala, 255 g (1 tray/9 oz)",Tikka Masala,Unhealthy,430,40,23,14,730,1
2/12/2018,Dinner,"Spps - Chicken Fried Rice, 0.84 cup",Fried Rice,Unhealthy,250,26,8,21,408,0
2/12/2018,Dinner,"Rice - White, glutinous, cooked, 0.5 cup",White Rice,Neutral,84,18,0,2,4,0
2/12/2018,Dinner,"Superior - Red Chili Oil, 0.25 cup(s)",Oil,Unhealthy,520,0,56,0,0,0
2/12/2018,Dinner,"Yanshan - Liangfen jelly, 200 ml",Jelly Noodles,Neutral,76,17,0,0,0,0
2/12/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/12/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/12/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/12/2018,Drinks,"Chipotle - Margarita, 24 fl. oz.",Margarita,Unhealthy,460,50,0,0,10,42
2/12/2018,Dessert,"Pas - Black and White Cookie, 0.75 oz",Cookies,Unhealthy,85,15,3,1,60,10
2/13/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/13/2018,Breakfast,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
2/13/2018,Breakfast,"Boar's Head - Gruyere Cheese, 1 oz",Gruyere Cheese,Unhealthy,110,0,9,7,150,0
2/13/2018,Breakfast,"Warrens - House Fries (Small), 1.75 oz",French Fries,Unhealthy,120,10,5,1,1,0
2/13/2018,Lunch,"Pringles - Barbecue Potato Chips, 15 chips",Potato Chips,Unhealthy,150,16,9,1,140,1
2/13/2018,Lunch,"Chick Fila - Chicken Sandwich, 1 Sandwich",Chicken Sandwich,Neutral,440,41,18,28,"1,390",5
2/13/2018,Lunch,"orzo salad - salad, 1 cup",Salad,Healthy,300,0,0,0,0,0
2/13/2018,Dinner,"Spps - Chicken Fried Rice, 0.84 cup",Fried Rice,Unhealthy,250,26,8,21,408,0
2/13/2018,Dinner,"Egg - Egg, 1 large",Eggs,Healthy,72,0,5,6,71,0
2/13/2018,Dinner,"Pringles - Sour Cream & Onion (1.41oz), 1 can",Potato Chips,Unhealthy,210,23,12,2,230,1
2/13/2018,Dessert,"Trader Joe's - Dried Blueberries, 0.25 cup",Candy,Unhealthy,140,33,0,1,0,14
2/13/2018,Snacks,"hummus - Hummus, 10 tbsp",Hummus,Healthy,350,20,25,10,650,5
2/13/2018,Snacks,"Crackers - Crackers, 24 crackers",Crackers,Neutral,390,21,15,12,600,6
2/14/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/14/2018,Breakfast,"Tillamook - Cheddar Cheese - Medium, 1 oz (28g)",Cheddar Cheese,Unhealthy,110,0,9,7,170,0
2/14/2018,Breakfast,"Generic - Salmon Locks, 1 oz",Fish,Healthy,55,0,3,12,280,0
2/14/2018,Lunch,"Luke's - Lobster Roll, 0.5 sandwich",Lobster Roll,Neutral,150,14,10,14,0,0
2/14/2018,Lunch,"Del Taco - Fish Taco, 1 taco",Tacos,Unhealthy,280,27,17,7,560,2
2/14/2018,Lunch,"Baked Lay's - Sour Cream and Onion, 2 oz. (28g/About 14 chips)",Potato Chips,Unhealthy,260,48,7,4,380,6
2/14/2018,Dinner,"Fitfoodmeals.com - Red Curry Beef, 1 container",Beef Curry,Neutral,665,97,14,11,0,0
2/14/2018,Dinner,"Homemade - Veggie Fried Rice, 1.5 Cup",Fried Rice,Unhealthy,450,75,23,15,831,1
2/14/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 0.5 ea",Cookies,Unhealthy,85,12,4,1,60,8
2/14/2018,Snacks,"Cape Cod - Chips, 0.6 package (53.2 g)",Potato Chips,Unhealthy,156,20,7,2,138,1
2/14/2018,Snacks,"Oranges - Orange, 0.33 c",Oranges,Healthy,20,5,0,0,0,4
2/14/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 1 ea",Cookies,Unhealthy,170,24,7,2,120,15
2/14/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/14/2018,Dessert,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/15/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/15/2018,Breakfast,"Generic - Salmon Locks, 1 oz",Fish,Healthy,55,0,3,12,280,0
